sample_index,snr_db,velocity_kmh,mmse_ber,mmse_ser,mmse_nmse,oamp_dl_ber,oamp_dl_ser,oamp_dl_nmse
33,20,30,0.06657608695652174,0.13043478260869565,0.357847557527641,0.04891304347826087,0.09782608695652174,0.13615438579438574
34,20,30,0.03940217391304348,0.07608695652173914,0.302472667033931,0.008152173913043478,0.016304347826086956,0.024414456441141066
35,20,30,0.04076086956521739,0.07880434782608696,0.30272544458726847,0.008152173913043478,0.016304347826086956,0.030371589001055757
36,20,30,0.13451086956521738,0.25,0.8949260878898194,0.016304347826086956,0.029891304347826088,0.056941606431552
37,20,30,0.02309782608695652,0.043478260869565216,0.19996383790017183,0.0,0.0,0.00314813653376306
38,20,30,0.029891304347826088,0.057065217391304345,0.25063436956671437,0.002717391304347826,0.005434782608695652,0.008966944500955589
39,20,30,0.1480978260869565,0.2717391304347826,0.5881353286054816,0.11820652173913043,0.22010869565217392,0.36034477429475925
40,20,30,0.016304347826086956,0.03260869565217391,0.2003947282923951,0.0,0.0,0.001021194941157664
41,20,30,0.12228260869565218,0.22282608695652173,0.7909686630317181,0.016304347826086956,0.03260869565217391,0.041601242830730516
42,20,30,0.09646739130434782,0.18206521739130435,0.4146221520729541,0.043478260869565216,0.08423913043478261,0.14774921897319643
43,20,30,0.036684782608695655,0.07065217391304347,0.27054018508328603,0.008152173913043478,0.016304347826086956,0.025012487785667094
44,20,30,0.009510869565217392,0.019021739130434784,0.1635718719713758,0.004076086956521739,0.008152173913043478,0.013533395127009318
45,10,120,0.03260869565217391,0.06521739130434782,0.21479414441251146,0.004076086956521739,0.008152173913043478,0.02444740964552056
46,10,120,0.050271739130434784,0.09782608695652174,0.30633558730610705,0.017663043478260868,0.03260869565217391,0.059248919287204105
47,10,120,0.12364130434782608,0.2418478260869565,0.4496854448289446,0.10326086956521739,0.1983695652173913,0.29775866352199915
48,10,120,0.08152173913043478,0.14945652173913043,0.35246173613707593,0.05434782608695652,0.10597826086956522,0.15222721664930575
49,10,120,0.125,0.2418478260869565,0.45146749091241273,0.12092391304347826,0.23369565217391305,0.41421817932302896
50,10,120,0.059782608695652176,0.11413043478260869,0.3389292243803914,0.04619565217391304,0.08967391304347826,0.14143884504768287
51,10,120,0.04891304347826087,0.09782608695652174,0.26370495377049596,0.017663043478260868,0.035326086956521736,0.05662250375887173
52,10,120,0.014945652173913044,0.029891304347826088,0.17873153887932672,0.010869565217391304,0.021739130434782608,0.028755593631112183
