sample_index,snr_db,velocity_kmh,mmse_ber,mmse_ser,mmse_nmse,oamp_ber,oamp_ser,oamp_nmse
35,20,30,0.04076086956521739,0.07880434782608696,0.30272544458726847,0.04076086956521739,0.07880434782608696,0.1368413202382199
36,20,30,0.13451086956521738,0.25,0.8949260878898194,0.13994565217391305,0.2608695652173913,0.4305491599123832
37,20,30,0.02309782608695652,0.043478260869565216,0.19996383790017183,0.025815217391304348,0.04619565217391304,0.07840735813523973
38,20,30,0.029891304347826088,0.057065217391304345,0.25063436956671437,0.028532608695652172,0.051630434782608696,0.10961116503942162
39,20,30,0.1480978260869565,0.2717391304347826,0.5881353286054816,0.17255434782608695,0.3016304347826087,0.5846007104064251
40,20,30,0.016304347826086956,0.03260869565217391,0.2003947282923951,0.016304347826086956,0.03260869565217391,0.051346814031836024
41,20,30,0.12228260869565218,0.22282608695652173,0.7909686630317181,0.12635869565217392,0.22826086956521738,0.4032328983333365
42,20,30,0.09646739130434782,0.18206521739130435,0.4146221520729541,0.10054347826086957,0.1875,0.321318949153699
43,20,30,0.036684782608695655,0.07065217391304347,0.27054018508328603,0.04619565217391304,0.08967391304347826,0.123025386611784
44,20,30,0.009510869565217392,0.019021739130434784,0.1635718719713758,0.010869565217391304,0.021739130434782608,0.03380658737589249
45,10,120,0.03260869565217391,0.06521739130434782,0.21479414441251146,0.028532608695652172,0.05434782608695652,0.08095706812504891
46,10,120,0.050271739130434784,0.09782608695652174,0.30633558730610705,0.06114130434782609,0.11684782608695653,0.17586975798029622
47,10,120,0.12364130434782608,0.2418478260869565,0.4496854448289446,0.12771739130434784,0.24728260869565216,0.40116668281402923
48,10,120,0.08152173913043478,0.14945652173913043,0.35246173613707593,0.09918478260869565,0.18478260869565216,0.30284003200749043
49,10,120,0.125,0.2418478260869565,0.45146749091241273,0.13722826086956522,0.26358695652173914,0.4022764559397757
50,10,120,0.059782608695652176,0.11413043478260869,0.3389292243803914,0.07065217391304347,0.13858695652173914,0.20073065972232634
51,10,120,0.04891304347826087,0.09782608695652174,0.26370495377049596,0.04891304347826087,0.09510869565217392,0.15480218062566475
52,10,120,0.014945652173913044,0.029891304347826088,0.17873153887932672,0.014945652173913044,0.029891304347826088,0.05281394428360343
53,10,120,0.07065217391304347,0.1358695652173913,0.3842309799117456,0.08152173913043478,0.15489130434782608,0.2545624259988447
54,10,120,0.10054347826086957,0.19021739130434784,0.4134232412208595,0.13179347826086957,0.2418478260869565,0.3901174420077506
55,10,120,0.06521739130434782,0.13043478260869565,0.37045877666222277,0.09782608695652174,0.18206521739130435,0.30185584306115787
