sample_index,mmse_ber,mmse_ser,mmse_nmse,informed_ber,informed_ser,informed_nmse
115,0.16304347826086957,0.3016304347826087,0.645730346558065,0.16168478260869565,0.296195652173913,0.6463682270120594
116,0.06657608695652174,0.12771739130434784,0.4155739424226298,0.07201086956521739,0.13858695652173914,0.4182577511941163
117,0.06114130434782609,0.12228260869565218,0.3499467703303157,0.06114130434782609,0.12228260869565218,0.35099136345417115
118,0.07472826086956522,0.14945652173913043,0.42173332162335536,0.07608695652173914,0.15217391304347827,0.42098984515357746
119,0.07608695652173914,0.14945652173913043,0.43193944485581065,0.08152173913043478,0.16032608695652173,0.4335610719432543
120,0.025815217391304348,0.051630434782608696,0.2935297624190272,0.02717391304347826,0.05434782608695652,0.293751236978751
121,0.029891304347826088,0.059782608695652176,0.2946795794467867,0.025815217391304348,0.051630434782608696,0.2991337398920887
122,0.04076086956521739,0.08152173913043478,0.30670835672185554,0.042119565217391304,0.08423913043478261,0.3096480863624443
123,0.08967391304347826,0.17119565217391305,0.4725655456774341,0.08967391304347826,0.17391304347826086,0.4710132604760615
124,0.04483695652173913,0.08967391304347826,0.5046154712858337,0.04076086956521739,0.08152173913043478,0.5079281650552565
125,0.13451086956521738,0.24728260869565216,0.8216784007765205,0.1358695652173913,0.25271739130434784,0.8257798893372101
126,0.125,0.23641304347826086,0.6037950881955618,0.125,0.23097826086956522,0.6139810882827331
127,0.04755434782608696,0.09510869565217392,0.25066291178608396,0.04483695652173913,0.08967391304347826,0.25084925369153926
128,0.03940217391304348,0.07608695652173914,0.3055936340656821,0.03804347826086957,0.07336956521739131,0.3125536127097723
129,0.09239130434782608,0.1793478260869565,0.532290465150514,0.08967391304347826,0.17391304347826086,0.5298025180703017
130,0.005434782608695652,0.010869565217391304,0.12182652645771272,0.004076086956521739,0.008152173913043478,0.1215793265922424
131,0.08152173913043478,0.16304347826086957,0.48305767535565713,0.08288043478260869,0.16576086956521738,0.47884531047705536
132,0.002717391304347826,0.005434782608695652,0.11555149329941206,0.002717391304347826,0.005434782608695652,0.11732394528815523
133,0.059782608695652176,0.11684782608695653,0.3954320136006184,0.0625,0.12228260869565218,0.3973986729592932
134,0.001358695652173913,0.002717391304347826,0.10776965912440907,0.0,0.0,0.10740565166955049
